Algorithm,Cost,Time
Algorithm,946.0,0.004523039
Knapsack,4758.0,0.002022028
Recursive Knapsack,4758.0,0.019057274
Dynamic,3553.0,0.00299716
Static,6107.0,0.001998186
Algorithm,1493.0,0.000511646
Knapsack,4880.0,0.00245738
Recursive Knapsack,4880.0,0.020343542
Static,4539.0,0.008017778
Algorithm,1540.0,0.001320124
Recursive Knapsack,5185.0,0.020567894
Static,5418.0,0.006516457
Knapsack,5052.0,0.004517317
Recursive Knapsack,5052.0,0.024600029
Static,4692.0,0.003008127
Algorithm,1107.0,0.001430988
Recursive Knapsack,4802.0,0.007015467
Dynamic,4088.0,0.004229307
Algorithm,1684.0,0.001977921
Knapsack,5063.0,0.000983238
Recursive Knapsack,5063.0,0.127573252
Dynamic,4523.0,0.002058744
Static,4628.0,0.000999928
Algorithm,1177.0,0.00169754
Recursive Knapsack,5161.0,0.014119387
Dynamic,4812.0,0.003051996
Static,6562.0,0.0026021
Algorithm,1960.0,0.002052307
Knapsack,5227.0,0.002275944
Recursive Knapsack,5227.0,0.037445307
Dynamic,4679.0,0.002085686
Static,5705.0,0.001314402
Algorithm,2074.0,0.002258062
Knapsack,5092.0,0.001482487
Recursive Knapsack,5092.0,0.004470825
Dynamic,5254.0,0.002709389
Static,6207.0,0.001328945
Algorithm,1503.0,0.00249052
Knapsack,4876.0,0.001153231
Recursive Knapsack,4876.0,0.018695831
Dynamic,4313.0,0.003014803
Static,7026.0,0.001996279
Algorithm,1424.0,0.002998114
Knapsack,4905.0,0.001000404
Recursive Knapsack,4905.0,0.040133238
Dynamic,4062.0,0.001997709
Static,6258.0,0.000999928
Algorithm,1948.0,0.002164602
Knapsack,5271.0,0.000999689
Recursive Knapsack,5271.0,0.043247223
Dynamic,5479.0,0.002993107
Static,3989.0,0.00215435
Algorithm,1562.0,0.002309799
Knapsack,5044.0,0.001497984
Recursive Knapsack,5044.0,0.218144894
Dynamic,4596.0,0.002016068
Static,5805.0,0.001000166
Algorithm,1380.0,0.00199604
Knapsack,4643.0,0.001999617
Recursive Knapsack,4643.0,0.040527582
Dynamic,4777.0,0.001368046
Static,3720.0,0.001130104
Algorithm,1157.0,0.001016378
Knapsack,4764.0,0.00100255
Recursive Knapsack,4764.0,0.323303699
Dynamic,3449.0,0.001000643
Static,6189.0,0.003055096
Algorithm,2148.0,0.003000736
Knapsack,5454.0,0.000998497
Recursive Knapsack,5454.0,0.015785694
Dynamic,5724.0,0.001029968
Static,3948.0,0.00248003
Algorithm,1461.0,0.00117445
Knapsack,4598.0,0.000999689
Recursive Knapsack,4598.0,0.128535032
Dynamic,4433.0,0.00117898
Static,2801.0,0.002028704
Algorithm,1426.0,0.001036882
Knapsack,4630.0,0.001101494
Recursive Knapsack,4630.0,0.021824598
Dynamic,3580.0,0.002228737
Static,5243.0,0.001025915
Algorithm,1254.0,0.002447128
Recursive Knapsack,4585.0,0.130429029
Dynamic,3985.0,0.001036882
Static,4300.0,0.002032042
Algorithm,1679.0,0.001554728
Knapsack,5050.0,0.000953674
Recursive Knapsack,5050.0,0.00412488
Dynamic,5606.0,0.002473831
Static,3893.0,0.001652479
Algorithm,1398.0,0.002382755
Knapsack,4920.0,0.001013517
Recursive Knapsack,4920.0,0.019257784
Dynamic,4206.0,0.002030373
Static,6350.0,0.001511097
Algorithm,1773.0,0.002398968
Knapsack,4894.0,0.000987291
Recursive Knapsack,4894.0,0.006245375
Dynamic,4801.0,0.00102663
Static,5089.0,0.001099348
Algorithm,1614.0,0.002015352
Knapsack,4670.0,0.000992537
Recursive Knapsack,4670.0,0.013315201
Dynamic,4787.0,0.002314806
Static,3320.0,0.001015186
Algorithm,1902.0,0.001235485
Knapsack,5193.0,0.001062632
Recursive Knapsack,5193.0,0.157946348
Dynamic,5300.0,0.001998901
Static,3340.0,0.001000881
Algorithm,2298.0,0.001292467
Knapsack,5217.0,0.001281023
Recursive Knapsack,inf,0.006183147
Dynamic,4970.0,0.001094341
Static,1792.0,0.00139451
Algorithm,1563.0,0.002188921
Recursive Knapsack,5359.0,0.011766434
Dynamic,5027.0,0.001849174
Static,5291.0,0.00201273
Algorithm,1776.0,0.001997948
Recursive Knapsack,4993.0,0.011207342
Dynamic,4596.0,0.001554251
Static,3940.0,0.001982927
Algorithm,1233.0,0.001392365
Knapsack,4606.0,0.001023769
Recursive Knapsack,4606.0,0.019062757
Dynamic,3496.0,0.001983166
Static,5816.0,0.002150536
Algorithm,1181.0,0.002141953
Knapsack,4715.0,0.001417637
Recursive Knapsack,4715.0,0.034050703
Dynamic,3756.0,0.002360821
Static,5619.0,0.002026558
Algorithm,1669.0,0.001999378
Knapsack,4955.0,0.001498699
Recursive Knapsack,4955.0,0.236223698
Dynamic,4702.0,0.000999451
Static,4818.0,0.001999617
Algorithm,1497.0,0.002561331
Knapsack,4819.0,0.001368523
Recursive Knapsack,4819.0,0.010947704
Dynamic,4209.0,0.001116991
Static,5493.0,0.004373789
Algorithm,1878.0,0.003127337
Knapsack,5121.0,0.000994682
Recursive Knapsack,5121.0,0.013206482
Dynamic,5108.0,0.001023769
Static,5568.0,0.00250864
Algorithm,2021.0,0.002023697
Knapsack,5296.0,0.002431631
Recursive Knapsack,5296.0,0.008820295
Dynamic,5529.0,0.001507759
Static,5758.0,0.002017498
Algorithm,1814.0,0.002007008
Knapsack,5097.0,0.001001835
Recursive Knapsack,5097.0,0.011021614
Dynamic,5087.0,0.002296925
Static,4769.0,0.002279758
Algorithm,1725.0,0.001996279
Recursive Knapsack,5134.0,0.058018923
Dynamic,4489.0,0.001007795
Static,6313.0,0.002017736
Algorithm,1534.0,0.001285791
Knapsack,5085.0,0.001182795
Recursive Knapsack,5085.0,0.014997244
Dynamic,4263.0,0.003143311
Static,6912.0,0.002238512
Algorithm,1273.0,0.002997398
Knapsack,4565.0,0.001001835
Recursive Knapsack,4565.0,0.013380527
Dynamic,3930.0,0.00199914
Static,4039.0,0.002126217
Algorithm,1565.0,0.001000166
Knapsack,5023.0,0.001060247
Recursive Knapsack,5023.0,0.314053535
Dynamic,4251.0,0.000999928
Static,6454.0,0.002712488
Algorithm,1218.0,0.000997066
Recursive Knapsack,4859.0,0.016489983
Dynamic,3850.0,0.001999378
Static,6263.0,0.002311707
Algorithm,1970.0,0.001997948
Recursive Knapsack,5649.0,0.113047838
Dynamic,5629.0,0.001999378
Static,6871.0,0.001000643
Algorithm,1650.0,0.002607107
Recursive Knapsack,4984.0,0.015512943
Dynamic,4602.0,0.001542568
Static,4615.0,0.002453327
Algorithm,1810.0,0.001488209
Recursive Knapsack,4989.0,0.016485453
Dynamic,5515.0,0.003448248
Static,2373.0,0.002001286
Algorithm,1490.0,0.002377748
Knapsack,4812.0,0.001413822
Recursive Knapsack,4812.0,0.019235611
Dynamic,4347.0,0.002004147
Static,5045.0,0.002017736
Algorithm,1739.0,0.001014709
Knapsack,5085.0,0.001027346
Recursive Knapsack,5085.0,0.012937069
Dynamic,4807.0,0.002798796
Static,5573.0,0.001008272
Algorithm,2130.0,0.001008272
Recursive Knapsack,5158.0,0.009547949
Dynamic,5388.0,0.002521038
Static,3242.0,0.001999617
Algorithm,1372.0,0.002892494
Knapsack,4731.0,0.001208305
Recursive Knapsack,4731.0,0.134671688
Dynamic,4974.0,0.001527786
Static,2887.0,0.00142312
Algorithm,1301.0,0.001195192
Recursive Knapsack,4755.0,0.018273354
Dynamic,3946.0,0.00211525
Static,5777.0,0.001012564
Algorithm,1429.0,0.001036882
Recursive Knapsack,4800.0,0.045675993
Dynamic,4323.0,0.000999928
Static,6600.0,0.002000093
Algorithm,2062.0,0.002013922
Knapsack,5075.0,0.001472473
Recursive Knapsack,5075.0,0.007009745
Dynamic,4612.0,0.001999855
Static,4211.0,0.001000881
Algorithm,1213.0,0.001983166
Recursive Knapsack,4666.0,0.011374712
Dynamic,4138.0,0.002029896
Static,4913.0,0.001000404
Algorithm,1962.0,0.002446175
Knapsack,5200.0,0.00100255
Recursive Knapsack,5200.0,0.035652161
Dynamic,4883.0,0.000999928
Static,6166.0,0.001999855
Algorithm,1450.0,0.000995636
Knapsack,4807.0,0.001000166
Recursive Knapsack,4807.0,0.008999825
Dynamic,4220.0,0.002562284
Static,3746.0,0.001000404
Algorithm,1462.0,0.001986265
Knapsack,5231.0,0.000999928
Recursive Knapsack,5231.0,0.01699996
Dynamic,4675.0,0.002000332
Static,6298.0,0.001999617
Algorithm,1591.0,0.001999855
Knapsack,5119.0,0.000998735
Recursive Knapsack,5119.0,0.013325453
Dynamic,4852.0,0.001000881
Static,5554.0,0.003640652
Algorithm,905.0,0.002012491
Knapsack,4437.0,0.001144886
Recursive Knapsack,4437.0,0.015632153
Dynamic,3216.0,0.002008677
Static,5961.0,0.001514435
Algorithm,1169.0,0.002001286
Knapsack,4732.0,0.001102448
Recursive Knapsack,4732.0,0.119361401
Dynamic,4072.0,0.000999928
Static,5346.0,0.001488447
Algorithm,1227.0,0.001881599
Knapsack,4228.0,0.001797676
Recursive Knapsack,4228.0,0.121256351
Dynamic,4209.0,0.002000093
Static,4268.0,0.001999855
Algorithm,1842.0,0.001000166
Knapsack,4949.0,0.001000166
Recursive Knapsack,4949.0,0.030999899
Dynamic,5091.0,0.001999855
Static,4051.0,0.000999928
Algorithm,1526.0,0.003000259
Knapsack,4631.0,0.001000166
Recursive Knapsack,4631.0,0.126591921
Dynamic,3726.0,0.001000166
Static,4752.0,0.002000093
Algorithm,1271.0,0.001999855
Knapsack,4452.0,0.001018286
Recursive Knapsack,4452.0,0.089311123
Dynamic,3787.0,0.000999689
Static,5482.0,0.002212048
Algorithm,1341.0,0.001787901
Knapsack,4945.0,0.001335382
Recursive Knapsack,4945.0,0.007654905
Dynamic,4617.0,0.001254559
Static,5331.0,0.002499819
Algorithm,1589.0,0.002013206
Knapsack,5153.0,0.000998735
Recursive Knapsack,5153.0,0.431260347
Dynamic,4653.0,0.002016783
Static,5764.0,0.002000093
Algorithm,1514.0,0.002014637
Knapsack,4513.0,0.001010895
Recursive Knapsack,4513.0,0.010015726
Dynamic,3846.0,0.002081156
Static,5845.0,0.001538038
Algorithm,1760.0,0.001999378
Recursive Knapsack,4951.0,0.201113939
Dynamic,4485.0,0.000999928
Static,4452.0,0.001999855
Algorithm,1228.0,0.001843691
Knapsack,4939.0,0.001008749
Recursive Knapsack,4939.0,0.013070583
Dynamic,3927.0,0.001000643
Static,5968.0,0.003004313
Algorithm,1021.0,0.003772974
Knapsack,4536.0,0.000998974
Recursive Knapsack,4536.0,0.152764559
Dynamic,3753.0,0.00100112
Static,5874.0,0.001998663
Algorithm,1771.0,0.001981497
Recursive Knapsack,5369.0,0.01199913
Dynamic,5329.0,0.00300169
Static,7345.0,0.002231121
Algorithm,1211.0,0.001997948
Knapsack,4564.0,0.001015902
Recursive Knapsack,4564.0,0.018853903
Dynamic,3921.0,0.001999855
Static,5465.0,0.003003359
Algorithm,1720.0,0.002151728
Knapsack,5037.0,0.000522852
Recursive Knapsack,5037.0,0.015223503
Dynamic,4785.0,0.001012325
Static,4904.0,0.002561808
Algorithm,1596.0,0.002014637
Knapsack,4815.0,0.001257658
Recursive Knapsack,4815.0,0.01257062
Dynamic,5097.0,0.001105309
Static,3255.0,0.001266718
Algorithm,1795.0,0.002073765
Knapsack,5189.0,0.001214743
Recursive Knapsack,5189.0,0.007400513
Dynamic,5239.0,0.00201273
Static,5176.0,0.002997875
Algorithm,1498.0,0.00113821
Knapsack,4849.0,0.00146699
Recursive Knapsack,4849.0,0.067887068
Dynamic,4562.0,0.003636122
Static,3940.0,0.001010418
Algorithm,1808.0,0.001009464
Knapsack,4788.0,0.001038551
Recursive Knapsack,4788.0,0.061012506
Dynamic,4826.0,0.000999928
Static,3305.0,0.002000093
Algorithm,1061.0,0.001483917
Recursive Knapsack,4380.0,0.014327288
Dynamic,3505.0,0.000999928
Static,5644.0,0.002003193
Algorithm,2191.0,0.00201869
Knapsack,5169.0,0.001004696
Recursive Knapsack,5169.0,0.010878801
Dynamic,5246.0,0.002127647
Static,3565.0,0.001008272
Algorithm,1102.0,0.002188444
Knapsack,4927.0,0.000980377
Recursive Knapsack,4927.0,0.057516813
Dynamic,4114.0,0.002029181
Static,4931.0,0.000999928
Algorithm,1277.0,0.001001358
Knapsack,4611.0,0.000985146
Recursive Knapsack,4611.0,0.011169672
Dynamic,3966.0,0.002308369
Static,6080.0,0.001998186
Algorithm,1205.0,0.00298357
Knapsack,4640.0,0.002131462
Recursive Knapsack,4640.0,0.018419266
Dynamic,3612.0,0.002003193
Static,6065.0,0.002001286
Algorithm,1723.0,0.00216341
Knapsack,4767.0,0.001004219
Recursive Knapsack,4767.0,0.127025604
Dynamic,4818.0,0.001998425
Static,2238.0,0.000999689
Algorithm,1426.0,0.002028227
Knapsack,4970.0,0.001016855
Recursive Knapsack,4970.0,0.036764145
Dynamic,4224.0,0.001983881
Static,4925.0,0.001004696
Algorithm,1245.0,0.001396418
Knapsack,4773.0,0.001215219
Recursive Knapsack,4773.0,0.016005516
Dynamic,4644.0,0.002494097
Static,4424.0,0.002048254
Algorithm,1687.0,0.003000259
Knapsack,4821.0,0.000997782
Recursive Knapsack,4821.0,0.013282776
Dynamic,4659.0,0.002217293
Static,4366.0,0.002233744
Algorithm,1339.0,0.003288746
Knapsack,4712.0,0.001066923
Recursive Knapsack,4712.0,0.02329874
Dynamic,3860.0,0.001862764
Static,6117.0,0.00301218
Algorithm,1272.0,0.001010895
Knapsack,4566.0,0.000998735
Recursive Knapsack,4566.0,0.14731431
Dynamic,4372.0,0.002004385
Static,3161.0,0.002000332
Algorithm,782.0,0.00099802
Knapsack,4558.0,0.00099802
Recursive Knapsack,4558.0,0.017366409
Dynamic,3829.0,0.003020287
Static,6041.0,0.000999212
Algorithm,1795.0,0.001012564
Knapsack,5268.0,0.000999212
Recursive Knapsack,5268.0,0.196234226
Dynamic,4806.0,0.002000093
Static,6236.0,0.001999855
Algorithm,1666.0,0.001485825
Knapsack,4999.0,0.001089811
Recursive Knapsack,4999.0,0.070053101
Dynamic,4876.0,0.001615524
Static,4408.0,0.001030922
Algorithm,1967.0,0.002287388
Knapsack,5212.0,0.001014233
Recursive Knapsack,5212.0,0.008779049
Dynamic,5597.0,0.002395868
Static,5952.0,0.001080036
Algorithm,1123.0,0.002331972
Knapsack,4741.0,0.000997066
Recursive Knapsack,4741.0,0.039859772
Dynamic,4622.0,0.000999451
Static,5422.0,0.00199914
Algorithm,1908.0,0.001994371
Knapsack,5170.0,0.001022816
Recursive Knapsack,5170.0,0.013267517
Dynamic,4788.0,0.001018763
Static,5648.0,0.001053333
Algorithm,903.0,0.002035379
Knapsack,4148.0,0.000985861
Recursive Knapsack,4148.0,0.01429224
Dynamic,2932.0,0.001083374
Static,5314.0,0.003488779
Algorithm,1377.0,0.002472878
Knapsack,4798.0,0.001166582
