Algorithm,Cost,Time,Algorithm,Knapsack,Recursive Knapsack,Dynamic,Static
Algorithm,946,0.004523039,0.004523039,#N/A,#N/A,#N/A,#N/A
Knapsack,4758,0.002022028,#N/A,0.002022028,#N/A,#N/A,#N/A
Recursive Knapsack,4758,0.019057274,#N/A,#N/A,0.019057274,#N/A,#N/A
Dynamic,3553,0.00299716,#N/A,#N/A,#N/A,0.00299716,#N/A
Static,6107,0.001998186,#N/A,#N/A,#N/A,#N/A,0.001998186
Algorithm,1493,0.000511646,0.000511646,#N/A,#N/A,#N/A,#N/A
Knapsack,4880,0.00245738,#N/A,0.00245738,#N/A,#N/A,#N/A
Recursive Knapsack,4880,0.020343542,#N/A,#N/A,0.020343542,#N/A,#N/A
Static,4539,0.008017778,#N/A,#N/A,#N/A,#N/A,0.008017778
Algorithm,1540,0.001320124,0.001320124,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5185,0.020567894,#N/A,#N/A,0.020567894,#N/A,#N/A
Static,5418,0.006516457,#N/A,#N/A,#N/A,#N/A,0.006516457
Knapsack,5052,0.004517317,#N/A,0.004517317,#N/A,#N/A,#N/A
Recursive Knapsack,5052,0.024600029,#N/A,#N/A,0.024600029,#N/A,#N/A
Static,4692,0.003008127,#N/A,#N/A,#N/A,#N/A,0.003008127
Algorithm,1107,0.001430988,0.001430988,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4802,0.007015467,#N/A,#N/A,0.007015467,#N/A,#N/A
Dynamic,4088,0.004229307,#N/A,#N/A,#N/A,0.004229307,#N/A
Algorithm,1684,0.001977921,0.001977921,#N/A,#N/A,#N/A,#N/A
Knapsack,5063,0.000983238,#N/A,0.000983238,#N/A,#N/A,#N/A
Recursive Knapsack,5063,0.127573252,#N/A,#N/A,0.127573252,#N/A,#N/A
Dynamic,4523,0.002058744,#N/A,#N/A,#N/A,0.002058744,#N/A
Static,4628,0.000999928,#N/A,#N/A,#N/A,#N/A,0.000999928
Algorithm,1177,0.00169754,0.00169754,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5161,0.014119387,#N/A,#N/A,0.014119387,#N/A,#N/A
Dynamic,4812,0.003051996,#N/A,#N/A,#N/A,0.003051996,#N/A
Static,6562,0.0026021,#N/A,#N/A,#N/A,#N/A,0.0026021
Algorithm,1960,0.002052307,0.002052307,#N/A,#N/A,#N/A,#N/A
Knapsack,5227,0.002275944,#N/A,0.002275944,#N/A,#N/A,#N/A
Recursive Knapsack,5227,0.037445307,#N/A,#N/A,0.037445307,#N/A,#N/A
Dynamic,4679,0.002085686,#N/A,#N/A,#N/A,0.002085686,#N/A
Static,5705,0.001314402,#N/A,#N/A,#N/A,#N/A,0.001314402
Algorithm,2074,0.002258062,0.002258062,#N/A,#N/A,#N/A,#N/A
Knapsack,5092,0.001482487,#N/A,0.001482487,#N/A,#N/A,#N/A
Recursive Knapsack,5092,0.004470825,#N/A,#N/A,0.004470825,#N/A,#N/A
Dynamic,5254,0.002709389,#N/A,#N/A,#N/A,0.002709389,#N/A
Static,6207,0.001328945,#N/A,#N/A,#N/A,#N/A,0.001328945
Algorithm,1503,0.00249052,0.00249052,#N/A,#N/A,#N/A,#N/A
Knapsack,4876,0.001153231,#N/A,0.001153231,#N/A,#N/A,#N/A
Recursive Knapsack,4876,0.018695831,#N/A,#N/A,0.018695831,#N/A,#N/A
Dynamic,4313,0.003014803,#N/A,#N/A,#N/A,0.003014803,#N/A
Static,7026,0.001996279,#N/A,#N/A,#N/A,#N/A,0.001996279
Algorithm,1424,0.002998114,0.002998114,#N/A,#N/A,#N/A,#N/A
Knapsack,4905,0.001000404,#N/A,0.001000404,#N/A,#N/A,#N/A
Recursive Knapsack,4905,0.040133238,#N/A,#N/A,0.040133238,#N/A,#N/A
Dynamic,4062,0.001997709,#N/A,#N/A,#N/A,0.001997709,#N/A
Static,6258,0.000999928,#N/A,#N/A,#N/A,#N/A,0.000999928
Algorithm,1948,0.002164602,0.002164602,#N/A,#N/A,#N/A,#N/A
Knapsack,5271,0.000999689,#N/A,0.000999689,#N/A,#N/A,#N/A
Recursive Knapsack,5271,0.043247223,#N/A,#N/A,0.043247223,#N/A,#N/A
Dynamic,5479,0.002993107,#N/A,#N/A,#N/A,0.002993107,#N/A
Static,3989,0.00215435,#N/A,#N/A,#N/A,#N/A,0.00215435
Algorithm,1562,0.002309799,0.002309799,#N/A,#N/A,#N/A,#N/A
Knapsack,5044,0.001497984,#N/A,0.001497984,#N/A,#N/A,#N/A
Recursive Knapsack,5044,0.218144894,#N/A,#N/A,0.218144894,#N/A,#N/A
Dynamic,4596,0.002016068,#N/A,#N/A,#N/A,0.002016068,#N/A
Static,5805,0.001000166,#N/A,#N/A,#N/A,#N/A,0.001000166
Algorithm,1380,0.00199604,0.00199604,#N/A,#N/A,#N/A,#N/A
Knapsack,4643,0.001999617,#N/A,0.001999617,#N/A,#N/A,#N/A
Recursive Knapsack,4643,0.040527582,#N/A,#N/A,0.040527582,#N/A,#N/A
Dynamic,4777,0.001368046,#N/A,#N/A,#N/A,0.001368046,#N/A
Static,3720,0.001130104,#N/A,#N/A,#N/A,#N/A,0.001130104
Algorithm,1157,0.001016378,0.001016378,#N/A,#N/A,#N/A,#N/A
Knapsack,4764,0.00100255,#N/A,0.00100255,#N/A,#N/A,#N/A
Recursive Knapsack,4764,0.323303699,#N/A,#N/A,0.323303699,#N/A,#N/A
Dynamic,3449,0.001000643,#N/A,#N/A,#N/A,0.001000643,#N/A
Static,6189,0.003055096,#N/A,#N/A,#N/A,#N/A,0.003055096
Algorithm,2148,0.003000736,0.003000736,#N/A,#N/A,#N/A,#N/A
Knapsack,5454,0.000998497,#N/A,0.000998497,#N/A,#N/A,#N/A
Recursive Knapsack,5454,0.015785694,#N/A,#N/A,0.015785694,#N/A,#N/A
Dynamic,5724,0.001029968,#N/A,#N/A,#N/A,0.001029968,#N/A
Static,3948,0.00248003,#N/A,#N/A,#N/A,#N/A,0.00248003
Algorithm,1461,0.00117445,0.00117445,#N/A,#N/A,#N/A,#N/A
Knapsack,4598,0.000999689,#N/A,0.000999689,#N/A,#N/A,#N/A
Recursive Knapsack,4598,0.128535032,#N/A,#N/A,0.128535032,#N/A,#N/A
Dynamic,4433,0.00117898,#N/A,#N/A,#N/A,0.00117898,#N/A
Static,2801,0.002028704,#N/A,#N/A,#N/A,#N/A,0.002028704
Algorithm,1426,0.001036882,0.001036882,#N/A,#N/A,#N/A,#N/A
Knapsack,4630,0.001101494,#N/A,0.001101494,#N/A,#N/A,#N/A
Recursive Knapsack,4630,0.021824598,#N/A,#N/A,0.021824598,#N/A,#N/A
Dynamic,3580,0.002228737,#N/A,#N/A,#N/A,0.002228737,#N/A
Static,5243,0.001025915,#N/A,#N/A,#N/A,#N/A,0.001025915
Algorithm,1254,0.002447128,0.002447128,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4585,0.130429029,#N/A,#N/A,0.130429029,#N/A,#N/A
Dynamic,3985,0.001036882,#N/A,#N/A,#N/A,0.001036882,#N/A
Static,4300,0.002032042,#N/A,#N/A,#N/A,#N/A,0.002032042
Algorithm,1679,0.001554728,0.001554728,#N/A,#N/A,#N/A,#N/A
Knapsack,5050,0.000953674,#N/A,0.000953674,#N/A,#N/A,#N/A
Recursive Knapsack,5050,0.00412488,#N/A,#N/A,0.00412488,#N/A,#N/A
Dynamic,5606,0.002473831,#N/A,#N/A,#N/A,0.002473831,#N/A
Static,3893,0.001652479,#N/A,#N/A,#N/A,#N/A,0.001652479
Algorithm,1398,0.002382755,0.002382755,#N/A,#N/A,#N/A,#N/A
